+---------------+------+--------+-------+-------------+
|   series id   | year | period | value |  footnotes  |
+---------------+------+--------+-------+-------------+
| CEU5051320003 | 2024 |  M01   | 60.42 | preliminary |
| CEU5051320003 | 2023 |  M12   | 60.71 |             |
| CEU5051320003 | 2023 |  M11   | 60.40 |             |
| CEU5051320003 | 2023 |  M10   | 61.05 |             |
| CEU5051320003 | 2023 |  M09   | 59.10 |             |
| CEU5051320003 | 2023 |  M08   | 58.74 |             |
| CEU5051320003 | 2023 |  M07   | 59.30 |             |
| CEU5051320003 | 2023 |  M06   | 59.16 |             |
| CEU5051320003 | 2023 |  M05   | 58.88 |             |
| CEU5051320003 | 2023 |  M04   | 59.46 |             |
| CEU5051320003 | 2023 |  M03   | 58.75 |             |
| CEU5051320003 | 2023 |  M02   | 58.69 |             |
| CEU5051320003 | 2023 |  M01   | 58.62 |             |
| CEU5051320003 | 2022 |  M12   | 57.58 |             |
| CEU5051320003 | 2022 |  M11   | 56.36 |             |
| CEU5051320003 | 2022 |  M10   | 57.56 |             |
| CEU5051320003 | 2022 |  M09   | 56.78 |             |
| CEU5051320003 | 2022 |  M08   | 56.05 |             |
| CEU5051320003 | 2022 |  M07   | 55.46 |             |
| CEU5051320003 | 2022 |  M06   | 55.40 |             |
| CEU5051320003 | 2022 |  M05   | 55.55 |             |
| CEU5051320003 | 2022 |  M04   | 54.32 |             |
| CEU5051320003 | 2022 |  M03   | 52.78 |             |
| CEU5051320003 | 2022 |  M02   | 53.06 |             |
| CEU5051320003 | 2022 |  M01   | 53.63 |             |
| CEU5051320003 | 2021 |  M12   | 54.53 |             |
| CEU5051320003 | 2021 |  M11   | 53.48 |             |
| CEU5051320003 | 2021 |  M10   | 54.46 |             |
| CEU5051320003 | 2021 |  M09   | 53.91 |             |
| CEU5051320003 | 2021 |  M08   | 54.20 |             |
| CEU5051320003 | 2021 |  M07   | 55.54 |             |
| CEU5051320003 | 2021 |  M06   | 53.89 |             |
| CEU5051320003 | 2021 |  M05   | 54.75 |             |
| CEU5051320003 | 2021 |  M04   | 56.33 |             |
| CEU5051320003 | 2021 |  M03   | 55.80 |             |
| CEU5051320003 | 2021 |  M02   | 56.42 |             |
| CEU5051320003 | 2021 |  M01   | 56.53 |             |
| CEU5051320003 | 2020 |  M12   | 55.63 |             |
| CEU5051320003 | 2020 |  M11   | 56.79 |             |
| CEU5051320003 | 2020 |  M10   | 57.25 |             |
| CEU5051320003 | 2020 |  M09   | 55.35 |             |
| CEU5051320003 | 2020 |  M08   | 57.16 |             |
| CEU5051320003 | 2020 |  M07   | 56.90 |             |
| CEU5051320003 | 2020 |  M06   | 55.58 |             |
| CEU5051320003 | 2020 |  M05   | 56.77 |             |
| CEU5051320003 | 2020 |  M04   | 55.97 |             |
| CEU5051320003 | 2020 |  M03   | 56.38 |             |
| CEU5051320003 | 2020 |  M02   | 57.30 |             |
| CEU5051320003 | 2020 |  M01   | 57.72 |             |
+---------------+------+--------+-------+-------------+
